Type of property,Location,postal code,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,province
villa,verviers,4800,10645935,€495000,rue des dominicains 4E,4,C,195.0,0,0,50,1624,26,4,1998,Good,0,2,2,0,2,Hyper equipped,Fuel oil,Liège
farmhouse,battice,4651,10645934,€395000,rue des dominicains 4E,4,F,466.0,0,1,0,1012,0,3,1757,To renovate,0,1,1,0,1,Installed,Fuel oil,Liège
villa,liège jupillesur-meuse,4020,10645933,€374000,Rue Soxhluse 79 A,3,D,313.0,0,0,22,535,25,4,1990,Good,0,1,1,0,1,Installed,Gas,Liège
town-house,dilbeek,1700,10645931,€349000,Galgstraat 83,3,D,325.0,0,0,0,150,34,2,1961,To be done up,0,1,0,0,1,Semi equipped,Gas,Flemish Brabant
house,halle,1502,10645929,€339000,Galgstraat 83,3,F,858.0,0,0,0,1200,19,4,1950,To be done up,0,1,1,0,1,Not installed,Fuel oil,Flemish Brabant
house,sint-pieters-leeuw,1600,10645927,€295000,Galgstraat 83,3,F,535.0,0,1,0,324,13,3,1972,To be done up,0,1,0,0,1,Semi equipped,Fuel oil,Flemish Brabant
town-house,dilbeek itterbeek,1701,10645925,€349000,Galgstraat 83,3,D,325.0,0,0,0,150,34,2,1961,To be done up,0,1,0,0,1,Semi equipped,Gas,
apartment,sint-andries,8200,10645924,€189000,Dorpsstraat 62,2,D,393.0,0,0,0,0,0,0,1968,0,0,1,0,0,1,Semi equipped,Gas,West Flanders
house,cerfontaine,5630,10645923,€343447,"Avenue Paul Gilson, 49",4,A,0.0,0,0,0,1714,0,4,0,As new,0,1,0,0,2,0,0,Namur
house,binche epinois,7134,10645922,€361966,"Avenue Paul Gilson, 49",4,A,0.0,0,0,0,1000,0,4,0,As new,0,1,0,0,2,0,0,Hainaut (West)
apartment-block,saint-josse-ten-noode,1210,10643362,€5.000/maand.,Rue du Mail 77,7,NS,0.0,0,0,16,160,0,2,0,Good,0,4,4,0,4,0,0,Brussels Capital Region
house,heusden-zolder,3550,10645920,€599000,Schootstraat 254,6,E,427.0,0,1,0,2500,0,4,1987,Good,0,1,0,0,0,Installed,Fuel oil,Limburg
mixed-use-building,lessines,7860,10645919,€,Rue Xavier De Bue 1,5,G,513.0,0,0,10,176,30,2,0,To renovate,0,2,1,1,2,Not installed,Fuel oil,Hainaut (West)
house,denderleeuw welle,9473,10645916,€235000,Marktstraat 5,2,E,470.0,0,1,0,190,14,3,0,Just renovated,0,1,1,1,1,Installed,0,East Flanders
house,berlare,9290,10645915,€485000,Marktstraat 5,4,A,2.0,0,0,0,200,38,2,2022,As new,0,1,0,1,2,Hyper equipped,0,East Flanders
house,vorselaar,2290,10645914,€375000,Moldendijk 113,5,E,477.0,0,1,0,820,0,4,1972,0,0,1,0,0,0,0,0,Antwerp
mixed-use-building,saint-hubert,6870,10645913,€295000,Rue Courteroie 3,5,E,420.0,0,0,40,1117,0,4,0,Good,0,2,2,0,2,Installed,Fuel oil,Luxembourg (shared with Eastern Hainaut)
house,mol,2400,10645912,€589000,"Bleekstraat, 19",5,B,155.0,0,1,0,1300,0,4,2001,As new,0,2,0,0,3,USA hyper equipped,Gas,Antwerp
exceptional-property,mechelen,2800,10645911,€775000,Hoogstraat 5,4,C,223.0,0,1,0,452,27,3,1976,As new,0,2,1,1,3,USA hyper equipped,Gas,Antwerp
ground-floor,vielsalm,6690,10645910,€75000,Avenue Louise 367,2,NS,0.0,0,1,0,0,40,3,0,As new,0,1,1,0,1,0,Gas,Luxembourg (shared with Eastern Hainaut)
apartment,vielsalm,6690,10645908,€65000,Avenue Louise 367,2,NS,0.0,0,0,0,0,40,2,0,Good,0,1,1,0,1,0,Gas,Luxembourg (shared with Eastern Hainaut)
villa,sambreville arsimont,5060,10645907,€495000,Avenue Louise 367,3,C,255.0,0,0,80,1300,40,4,1993,As new,0,2,2,0,3,Installed,Pellet,Namur
house,gerpinnes,6280,10645906,€265000,Avenue Louise 367,3,D,313.0,0,0,0,400,50,3,0,As new,0,1,1,1,0,0,Fuel oil,Luxembourg (shared with Eastern Hainaut)
house,les bons villers frasneslez-gosselies,6210,10645905,€175000,Avenue Louise 367,3,D,319.0,0,1,0,200,28,2,1918,To be done up,0,2,2,1,2,0,Gas,Luxembourg (shared with Eastern Hainaut)
