Type of property,Location,postal code,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,province
penthouse,turnhout,2300,10666429,€,Grote Markt 22,4,C,218.0,0,0,30,0,0,4,1997,As new,0,1,0,0,2,0,Gas,Antwerp
house,essen,2910,10666428,€469000,Heidestatiestraat 26,3,D,390.0,0,1,0,760,34,4,0,0,0,1,0,0,2,Installed,0,Antwerp
house,bierges,1301,10666426,€1395000,"Rue de Wavre, 27",5,C,178.0,0,0,60,6468,50,4,1988,Good,0,2,3,1,4,Hyper equipped,Fuel oil,Walloon Brabant
apartment,arlon,6700,10666424,€285000,Avenue de Longwy 340,2,D,299.0,0,0,0,0,0,2,0,Good,0,2,0,0,2,Installed,Electric,Luxembourg (shared with Eastern Hainaut)
house,arlon,6700,10666423,€285000,Avenue de Longwy 340,2,D,299.0,0,0,0,0,0,2,0,Good,0,2,0,0,2,Installed,Electric,Luxembourg (shared with Eastern Hainaut)
apartment,antwerp,2000,10666422,€425000,"Grote steenweg, 511",2,C,254.0,0,0,4,0,40,0,0,As new,0,1,0,0,0,Installed,0,Antwerp
apartment,lede,9340,10666421,€725000,Wichelsesteenweg 109,2,NS,0.0,0,1,0,0,0,3,0,Good,0,1,0,0,1,0,0,East Flanders
house,grace-hollogne,4460,10666419,€189000,Avenue Louis Libert 1,2,E,346.0,0,1,0,360,32,2,1934,Good,0,1,0,0,0,Semi equipped,Fuel oil,Liège
villa,aywaille,4920,10666418,€399999,Avenue Louis Libert 1,4,C,228.0,0,1,0,1059,44,4,2004,To be done up,0,1,0,1,0,Semi equipped,Fuel oil,Liège
house,boom,2850,10666417,€324000,Goedehoopstraat 21,3,C,219.0,0,1,0,65,0,2,0,Good,0,1,0,1,3,0,0,Antwerp
mixed-use-building,boom,2850,10666416,€324000,Goedehoopstraat 21,3,C,219.0,0,1,0,65,0,2,0,Good,0,1,0,1,3,0,0,Antwerp
duplex,wommelgem,2150,10666413,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antwerp
house,wommelgem,2150,10666412,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antwerp
house,liedekerke,1770,10666410,€269000,Affligemsestraat 443,3,D,396.0,0,0,0,115,24,3,0,Good,0,1,0,0,2,0,Gas,Flemish Brabant
house,liège,4030,10666409,€480000,Route du Condroz 72,4,D,274.0,0,0,120,2183,16,4,1987,Good,0,2,1,1,2,Installed,Electric,Liège
house,aalst,9300,10666405,€239000,Grote Baan 170,3,F,684.0,0,1,0,132,33,2,1952,Good,0,1,0,0,0,Hyper equipped,Electric,East Flanders
duplex,aalst,9300,10666403,€335000,Leo de béthunelaan 8,4,NS,0.0,0,1,0,0,0,2,0,0,0,1,0,0,0,Hyper equipped,0,East Flanders
house,antwerp,2170,10666402,€215000,Dorpsstraat 84,3,E,487.0,0,0,0,305,28,2,1946,To renovate,0,1,0,1,0,0,0,Antwerp
service-flat,les bons villers villers-perwin,6210,10666397,€170000,Place Emile Delalieux 1,1,B,106.0,0,0,8,0,26,0,2018,As new,0,1,1,0,1,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
house,aalst,9300,10666396,€310000,Brusselbaan 110,3,B,155.0,0,0,8,60,33,2,1930,Good,0,1,0,0,0,Installed,Gas,East Flanders
villa,uccle,1180,10666393,€2950000,"Avenue de la Forêt de Soignes, 327",6,D,180.0,0,0,100,1800,80,4,0,As new,0,4,0,1,5,Hyper equipped,0,Brussels Capital Region
house,leopoldsburg,3970,10666390,€297000,Rondplein 14/2,3,B,199.0,0,1,0,562,28,4,1973,0,0,1,0,1,0,Hyper equipped,0,Limburg
house,deurne,2100,10666385,€395000,Gitschotellei 153-157,3,B,162.0,0,0,0,161,42,2,0,Just renovated,0,1,0,0,1,0,0,Antwerp
apartment,aalst,9300,10506515,€125000,Brusselbaan 90,1,F,688.0,0,0,5,0,25,2,0,Good,0,1,0,0,1,Semi equipped,Gas,East Flanders
apartment,aalst,9300,10506513,€125000,Brusselbaan 90,1,C,256.0,0,0,5,0,25,2,0,To be done up,0,1,0,0,0,Semi equipped,Gas,East Flanders
apartment,aalst,9300,10506511,€125000,Brusselbaan 90,1,F,686.0,0,0,5,0,25,2,0,Good,0,1,0,0,1,Installed,Gas,East Flanders
apartment,aalst,9300,10506510,€155000,Brusselbaan 90,2,E,467.0,0,0,0,0,40,2,0,Good,0,1,0,0,1,Semi equipped,Gas,East Flanders
house,aalst,9300,10666384,€259000,"Capucienenlaan, 1",4,C,238.0,0,1,0,150,32,2,0,0,0,1,0,0,1,USA installed,Gas,East Flanders
duplex,la louvière,7100,10666383,€195000,Rue du Moulin 2,3,B,106.0,0,0,0,0,35,2,0,As new,0,1,0,0,0,Installed,0,Hainaut (West)
house,tournai kain,7540,10526137,€395000,"Bld des Déportés, 56 A",1,E,383.0,0,1,0,1330,0,3,0,To be done up,0,1,1,1,2,Installed,Pellet,Hainaut (West)
exceptional-property,uccle,1180,10666382,€1990000,Chaussée de Waterloo 1382,5,A,31.76,0,0,40,1184,65,4,2018,As new,0,3,1,1,5,USA hyper equipped,0,Brussels Capital Region
apartment,woluwe-saint-lambert,1200,10666381,€595000,Chaussée de Waterloo 1382,3,D,190.0,0,0,7,0,54,2,1937,Good,0,2,1,1,2,Hyper equipped,Fuel oil,Brussels Capital Region
villa,olne,4877,10666371,€700000,Voie de L'air Pur 211,3,C,218.0,0,1,0,3190,50,4,1993,As new,0,1,0,1,2,Installed,Fuel oil,Liège
house,brasschaat,2930,10666368,€875000,Kempischveldweg 34,5,B,187.0,0,1,0,2146,46,4,1972,Good,0,2,0,1,0,USA hyper equipped,Gas,Antwerp
exceptional-property,ekeren,2180,10666367,€1295000,Kempischveldweg 34,5,C,206.0,0,1,0,2710,0,4,1895,As new,0,2,0,1,0,Hyper equipped,0,Antwerp
house,nieuwerkerken kozen,3850,10666366,€314936,Eikenenweg 73/1,3,NS,0.0,0,0,0,442,0,3,0,As new,0,1,0,0,0,0,0,Limburg
house,peer,3990,10666365,€341850,Eikenenweg 73/1,2,NS,0.0,0,0,32,268,0,3,0,As new,0,2,0,0,0,Hyper equipped,0,Limburg
house,peer,3990,10666363,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Limburg
exceptional-property,hasselt,3500,10666361,€570000,Eikenenweg 73/1,2,NS,0.0,0,0,40,0,0,2,0,As new,0,1,0,0,0,Hyper equipped,0,Limburg
apartment,hasselt,3500,10666360,€278887,Eikenenweg 73/1,1,NS,0.0,0,0,7,0,0,2,0,0,0,1,0,0,0,0,0,Limburg
apartment,laeken,1020,10666356,€,Av.de la Brise 46,3,E,211.0,0,0,4,0,34,3,1965,As new,0,1,0,0,1,Installed,Gas,Brussels Capital Region
house,hoboken,2660,10666355,€595000,Koninlijkelaan 42,4,C,230.0,0,1,0,333,0,3,0,As new,0,2,0,0,0,0,Gas,Antwerp
house,aalst,9300,10666354,€325000,Steenweg 299,4,C,211.0,0,1,0,222,28,3,0,Good,0,1,0,0,0,Installed,Gas,East Flanders
house,laeken,1020,10666352,€469000,"Avenue des Cerisiers, 212",4,F,283.0,0,0,40,343,40,3,1963,As new,0,1,1,1,2,Hyper equipped,0,Brussels Capital Region
house,vilvoorde koningslo,1800,10666349,€469000,"Avenue des Cerisiers, 212",4,C,283.0,0,0,40,343,40,3,1963,As new,0,1,1,1,2,Hyper equipped,0,Flemish Brabant
apartment,woluwe-saint-lambert,1200,10666348,€240000,"Avenue des Cerisiers, 212",2,E,221.0,0,0,17,0,28,0,1964,To renovate,0,1,1,0,1,Semi equipped,Gas,Brussels Capital Region
apartment,woluwe-saint-lambert,1200,10666347,€299000,"Avenue des Cerisiers, 212",3,D,178.0,0,0,9,0,30,2,1964,To renovate,0,1,0,0,1,0,Fuel oil,Brussels Capital Region
new-real-estate-project-houses,lievegem,9930,10666342,€523265,Den Triangel 2,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,lichtervelde,8810,10560725,€215000,Den Triangel 2,2,B,109.0,0,1,0,0,0,3,2012,As new,0,1,0,0,1,USA hyper equipped,0,West Flanders
new-real-estate-project-houses,ingelmunster,8770,10666337,€400742,Den Triangel 2,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Flanders
villa,aarschot,3200,10666336,€508496,"Kerkstraat, 38",3,NS,0.0,0,1,0,490,0,4,0,As new,0,1,0,0,2,0,0,Flemish Brabant
villa,galmaarden,1570,10666335,€426974,"Kerkstraat, 38",3,NS,0.0,0,1,0,563,0,4,0,As new,0,1,0,0,2,0,0,Flemish Brabant
apartment,schaerbeek,1030,10666334,€200000,Avenue Baron Albert d'Huart 130,2,E,274.0,0,0,5,0,30,0,1970,To renovate,0,1,1,0,0,Installed,Gas,Brussels Capital Region
house,lokeren,9160,10666333,€175000,Kerkstraat 64,2,E,411.0,0,0,0,260,0,2,0,To be done up,0,1,0,0,1,Installed,Gas,East Flanders
exceptional-property,floreffe,5150,10666313,€950000,Chaussée de Marche 474,5,C,234.0,0,0,120,24347,40,4,1989,As new,0,2,2,0,2,Installed,Fuel oil,Namur
house,woluwe-saint-pierre,1150,10666312,€840000,Rue Belliard 200,5,F,325.0,0,0,5,0,36,3,1931,As new,0,3,3,1,4,Hyper equipped,Gas,Brussels Capital Region
house,schaerbeek,1030,10666309,€1400000,Rue Belliard 200,8,E,253.0,0,1,0,305,389,2,1912,Good,0,4,116,1,2,Installed,Gas,Brussels Capital Region
apartment,etterbeek,1040,10666308,€570000,Rue Belliard 200,2,G,733.0,0,0,8,0,55,2,1960,Just renovated,0,1,0,0,2,USA hyper equipped,Fuel oil,Brussels Capital Region
triplex,auderghem,1160,10666307,€840000,Rue Belliard 200,5,F,325.0,0,0,5,0,36,3,1931,As new,0,3,0,1,4,Hyper equipped,Gas,Brussels Capital Region
mansion,beauvechain,1320,10666304,€/mois,Rue d'Incourt 37,5,D,332.0,0,0,30,1000,36,3,1910,Good,0,2,1,1,3,Installed,Fuel oil,Walloon Brabant
apartment-block,namur,5100,10666301,€525000,Joseph Durieux 151,3,C,173.0,0,0,50,0,20,3,0,0,0,0,2,1,4,Hyper equipped,0,Namur
mixed-use-building,fosses-la-ville,5070,10666300,€189000,Joseph Durieux 151,3,G,557.0,0,0,27,0,0,3,0,Good,0,1,0,0,1,Semi equipped,Fuel oil,Namur
villa,malonne,5020,10666299,€700000,Joseph Durieux 151,3,C,223.0,0,0,80,12748,70,4,0,0,0,1,1,1,2,USA hyper equipped,Gas,Namur
exceptional-property,malonne,5020,10666298,€700000,Joseph Durieux 151,3,C,223.0,0,0,80,12748,70,4,0,0,0,1,1,1,2,USA hyper equipped,Gas,Namur
house,mettet,5640,10666296,€250000,Joseph Durieux 151,4,G,590.0,0,0,30,1651,50,4,1980,To be done up,0,1,0,1,2,Semi equipped,Fuel oil,Namur
house,bouge,5004,10666295,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Namur
house,profondeville,5170,10666293,€.,Joseph Durieux 151,6,C,190.0,0,0,20,2911,30,3,1998,0,0,3,0,0,3,Semi equipped,Fuel oil,Namur
house,fraire,5650,10666292,€250000,Joseph Durieux 151,4,G,590.0,0,0,30,1651,50,4,1980,To be done up,0,1,0,1,2,Semi equipped,Fuel oil,Namur
house,fosses-la-ville,5070,10666291,€259000,Joseph Durieux 151,3,NS,0.0,0,0,0,880,23,4,2010,0,0,1,0,0,2,0,Fuel oil,Namur
house,loyers,5101,10666290,€425000,Joseph Durieux 151,3,E,400.0,0,0,40,5135,50,4,0,0,0,2,0,1,3,USA installed,Fuel oil,Namur
house,jemeppe-sur-sambre,5190,10666289,€399000,Joseph Durieux 151,4,D,302.0,0,0,60,5000,56,4,0,To be done up,0,2,0,1,2,0,0,Namur
house,bouge,5004,10666287,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Namur
house,fosses-la-ville,5070,10666284,€189000,Joseph Durieux 151,3,G,557.0,0,0,27,0,0,3,0,Good,0,1,0,0,1,Semi equipped,Fuel oil,Namur
house,malonne,5020,10666283,€700000,Joseph Durieux 151,3,C,223.0,0,0,80,12748,70,4,0,0,0,1,1,1,2,USA hyper equipped,Gas,Namur
house,namur saint-servais,5002,10666282,€145000,Joseph Durieux 151,3,NS,0.0,0,0,40,1298,29,3,0,To renovate,0,1,1,0,2,0,Gas,Namur
duplex,watermael-boitsfort,1170,10666278,€620000,Avenue Louise 589,2,B,82.0,0,0,40,0,50,2,2005,As new,0,1,0,1,2,USA hyper equipped,Gas,Brussels Capital Region
apartment,jette,1090,10666277,€245000,Avenue François Sebrechts 26,2,E,250.0,0,0,8,0,30,0,1969,As new,0,1,0,0,1,Hyper equipped,0,Brussels Capital Region
other-property,flobecq,7880,10666272,€585.000.,Porte d'Ogy 78,5,G,848.0,0,1,0,3500,0,4,0,0,0,1,0,0,2,Installed,Fuel oil,Hainaut (West)
country-cottage,flobecq,7880,10666271,€585.000.,Porte d'Ogy 78,5,G,848.0,0,1,0,3500,0,4,0,0,0,1,0,0,2,Installed,Fuel oil,Hainaut (West)
apartment,wondelgem,9032,10666267,€20.000.,Alphonse Claeys-Bouüaertlaan 57/001,2,D,312.0,0,0,0,0,0,0,1968,To be done up,0,1,0,0,0,0,Gas,East Flanders
apartment,gent,9000,10666266,€20.000.,Alphonse Claeys-Bouüaertlaan 57/001,2,D,312.0,0,0,0,0,0,0,1968,To be done up,0,1,0,0,0,0,Gas,East Flanders
house,ledeberg,9050,10666265,€339000,Alphonse Claeys-Bouüaertlaan 57/001,5,C,295.0,0,0,0,70,0,0,1899,To be done up,0,1,0,0,0,Semi equipped,Gas,East Flanders
house,ledeberg,9050,10666264,€339000,Alphonse Claeys-Bouüaertlaan 57/001,5,C,295.0,0,0,0,70,0,0,1899,To be done up,0,1,0,0,0,Semi equipped,Gas,East Flanders
house,aarschot,3200,10666262,€235000,Betekomsesteenweg 69F,2,D,398.0,0,0,0,174,0,0,1951,To renovate,0,1,0,1,1,0,Gas,Flemish Brabant
house,beringen,3580,10666261,€269950,Koeltorenlaan 11/3,3,E,496.0,0,0,21,0,28,0,1963,0,0,1,0,0,0,Installed,Gas,Limburg
villa,rumbeke,8800,10666257,€845000,Jan Palfijnstraat 1A,4,D,396.0,0,0,0,6720,56,0,1966,0,0,1,0,1,0,Hyper equipped,Electric,West Flanders
villa,zele,9240,10666255,€419000,Vrijheidsplein 19,3,F,872.0,0,1,0,1425,0,0,1965,To renovate,0,1,0,1,1,Installed,Electric,East Flanders
house,merksem,2170,10666254,€397000,"Uitbreidingstraat 84,",5,D,318.0,0,0,0,273,36,0,1938,0,0,1,0,1,0,Installed,Gas,Antwerp
apartment,hoboken,2660,10666253,€155000,"Uitbreidingstraat 84,",2,B,192.0,0,0,0,0,25,0,0,0,0,0,0,0,0,Installed,Gas,Antwerp
apartment,wilrijk,2610,10666250,€255000,Herdersstraat 5,2,NS,0.0,0,0,0,0,0,0,2023,Good,0,1,1,0,1,Installed,Gas,Antwerp
apartment,wilrijk,2610,10666249,€270000,Herdersstraat 5,2,NS,0.0,0,0,0,0,0,0,2023,Good,0,1,1,0,1,Installed,Gas,Antwerp
villa,izegem,8870,10644987,€299500,Vrijdagmarkt 4,3,NS,0.0,0,0,0,699,0,0,0,Good,0,1,0,0,0,0,0,West Flanders
villa,izegem,8870,10581762,€299500,Vrijdagmarkt 4,3,NS,0.0,0,0,0,699,0,0,0,Good,0,1,0,0,0,0,0,West Flanders
house,wellen,3830,10666247,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Limburg
apartment,assebroek,8310,10666243,€180000,Katelijnestraat 137,3,B,155.0,0,1,0,0,0,0,1974,As new,0,1,0,0,1,0,0,West Flanders
loft,veltem-beisem,3020,10545687,€750000,Jan Stasstraat 3,3,C,213.0,0,0,96,0,0,0,0,As new,0,3,0,1,0,Hyper equipped,Gas,Flemish Brabant
apartment,leuven,3000,10666242,€298000,Jan Stasstraat 3,1,B,166.0,0,0,5,0,0,0,2012,0,0,1,0,0,0,0,Gas,Flemish Brabant
apartment,heverlee,3001,10666241,€280000,Jan Stasstraat 3,2,C,228.0,0,0,0,0,0,0,1967,Good,0,1,0,0,1,0,Gas,Flemish Brabant
apartment,lier,2500,10666239,€265000,Pastoor Mellaertstraat 60,2,B,125.0,0,1,0,0,0,0,2003,As new,0,1,0,0,2,0,Gas,Antwerp
apartment,oostende,8400,10563903,€349000,Artanlaan 2,2,A,100.0,0,1,0,0,0,0,2003,As new,0,1,0,0,2,0,0,West Flanders
new-real-estate-project-houses,hasselt,3500,10666232,€549950,Kolonel Dusartplein 16,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Limburg
villa,sint-idesbald,8670,10666231,€615000,Artanlaan 2,6,C,218.0,0,1,0,727,0,0,1968,To renovate,0,1,0,0,0,0,0,West Flanders
apartment,oostduinkerke,8670,10666229,€825000,Artanlaan 2,2,B,108.0,0,1,0,0,0,0,2003,0,0,2,0,0,1,0,Gas,West Flanders
mansion,oostende,8400,10666228,€439000,Artanlaan 2,5,B,175.0,0,1,0,237,0,0,0,0,0,4,0,0,4,0,0,West Flanders
house,nieuwpoort,8620,10666227,€225000,Artanlaan 2,3,F,631.0,0,0,0,0,0,0,1953,To be done up,0,1,0,0,1,0,0,West Flanders
apartment,oostduinkerke,8670,10666226,€3095000,Artanlaan 2,3,C,220.0,0,1,0,0,0,0,1994,As new,0,2,0,0,3,Hyper equipped,Electric,West Flanders
house,manage,7170,10666224,€441493,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,684,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,Hainaut (West)
house,sirault,7332,10666223,€518745,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,2627,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,Hainaut (West)
house,ormeignies,7802,10666222,€572412,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,1500,0,0,0,0,0,2,0,0,2,Hyper equipped,Gas,Hainaut (West)
house,hautrage,7334,10666221,€670948,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,2847,0,0,0,0,0,2,0,0,3,Hyper equipped,Gas,Hainaut (West)
house,chièvres,7950,10666220,€504420,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,900,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,Hainaut (West)
house,opwijk,1745,10666219,€504582,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,212,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,Flemish Brabant
house,opwijk,1745,10666218,€518270,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,453,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,Flemish Brabant
house,herne,1540,10666217,€578078,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,550,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,
house,groot-bijgaarden,1702,10666216,€606576,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,420,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,
house,merchtem,1785,10666215,€845769,LEOPOLDSTRAAT 162,4,NS,0.0,0,0,0,798,0,0,0,0,0,1,0,1,2,Hyper equipped,Gas,Flemish Brabant
house,roosdaal,1760,10666214,€597319,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,400,0,0,0,0,0,1,0,1,2,Hyper equipped,Gas,Flemish Brabant
house,evergem,9940,10666213,€674717,LEOPOLDSTRAAT 162,4,NS,0.0,0,0,0,1419,0,0,0,0,0,2,0,0,2,Hyper equipped,Gas,East Flanders
house,maldegem,9990,10666212,€790088,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,1833,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,East Flanders
house,geluwe,8940,10666211,€596531,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,1002,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,West Flanders
house,vlezenbeek,1602,10666210,€754339,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,1518,0,0,0,0,0,1,0,1,2,Hyper equipped,Gas,
house,poperinge,8970,10666209,€507661,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,792,0,0,0,0,0,1,0,1,2,Hyper equipped,Gas,West Flanders
house,leke,8600,10666208,€491357,LEOPOLDSTRAAT 162,4,NS,0.0,0,0,0,383,0,0,0,0,0,2,0,0,2,Hyper equipped,Gas,West Flanders
house,ronse,9600,10666207,€534415,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,938,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,East Flanders
house,brakel,9660,10666206,€479414,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,1231,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,East Flanders
house,hennuyères,7090,10666205,€460970,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,924,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,Hainaut (West)
house,quévy,7040,10666204,€454777,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,2025,0,0,0,0,0,1,0,0,2,Hyper equipped,Gas,Hainaut (West)
house,frasnes-lez-buissenal,7911,10666203,€469272,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,300,0,0,0,0,0,2,0,0,2,Hyper equipped,Gas,Hainaut (West)
house,baudour,7331,10666202,€454945,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,786,0,0,0,0,0,1,0,1,2,Hyper equipped,Gas,Hainaut (West)
house,affligem,1790,10666201,€694203,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,189,0,0,0,0,0,1,0,1,1,0,0,Flemish Brabant
house,affligem,1790,10666200,€752984,LEOPOLDSTRAAT 162,3,NS,0.0,0,0,0,258,0,0,0,0,0,1,0,0,1,0,0,Flemish Brabant
house,braine-l'alleud,1420,10666199,€521000,Oude Waalstraat 248,3,NS,0.0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,Walloon Brabant
house,aalst,9300,10666198,€435000,Vrijheidstraat 41,4,D,354.0,0,1,0,314,48,0,1960,0,0,1,0,1,2,0,0,East Flanders
house,borsbeek,2150,10608330,€399000,Blancefloerlaan 50,2,C,236.0,0,1,0,195,0,0,0,As new,0,1,0,0,1,0,0,Antwerp
house,lummen,3560,10666195,€239000,Dorpsstraat 9,3,E,497.0,0,0,0,913,38,0,1959,To renovate,0,1,0,0,1,0,0,Limburg
house,kuurne,8520,10666194,€249000,Marktplein 14,3,D,360.0,0,1,0,285,0,0,0,To be done up,0,2,0,0,2,0,0,West Flanders
house,gits,8830,10666193,€470000,Marktplein 14,2,F,550.0,0,0,0,4044,0,0,1973,0,0,1,0,0,1,0,0,West Flanders
apartment,lichtervelde,8810,10666192,€235000,Marktplein 14,2,A,79.0,1,1,0,0,0,0,2016,0,0,1,0,0,1,0,0,West Flanders
house,appels,9200,10666191,€249000,Oude Vest 90/1,3,F,667.0,0,0,0,148,28,0,0,As new,0,1,0,0,1,Installed,Gas,East Flanders
duplex,hasselt,3500,10666188,€385000,"Het Dorlik, 16",3,NS,0.0,0,0,0,0,0,0,2019,0,0,1,0,0,0,0,0,Limburg
house,scherpenheuvel-zichem,3270,10666187,€149000,"Het Dorlik, 16",3,F,604.0,0,0,0,450,0,0,0,To renovate,0,1,0,0,0,0,0,Flemish Brabant
town-house,sint-truiden,3800,10666186,€239000,"Het Dorlik, 16",2,D,333.0,0,1,0,85,0,0,0,To renovate,0,1,0,0,1,Not installed,Gas,Limburg
exceptional-property,hasselt,3500,10666184,€524900,"Het Dorlik, 16",3,C,240.0,0,1,0,220,0,0,0,0,0,1,0,0,0,Installed,Gas,Limburg
exceptional-property,hasselt,3500,10666183,€699000,"Het Dorlik, 16",2,B,121.0,0,1,0,215,0,0,1920,0,0,1,0,1,2,Installed,Gas,Limburg
house,genk,3600,10666182,€285000,"Het Dorlik, 16",3,B,154.0,0,1,0,20060,0,0,2016,0,0,1,0,0,0,Installed,Gas,Limburg
house,putte,2580,10666180,€365000,Mechelbaan 445,3,F,533.0,0,1,0,935,0,0,1962,To renovate,0,1,0,0,1,Installed,Gas,Antwerp
house,putte,2580,10666179,€625000,Mechelbaan 445,3,A,100.0,0,0,0,496,0,0,2018,0,0,1,0,0,2,Hyper equipped,Gas,Antwerp
apartment,heist-op-den-berg,2220,10666178,€348000,Mechelbaan 445,3,B,145.0,0,1,0,0,0,0,2008,0,0,1,0,0,2,Installed,Gas,Antwerp
house,vurste,9890,10666177,€445000,Dorp 32 A,5,A,40.0,0,0,0,235,0,0,0,0,0,2,0,1,2,0,0,East Flanders
house,vurste,9890,10666176,€375000,Dorp 32 A,5,A,40.0,0,1,0,235,0,0,0,0,0,2,0,0,0,0,0,East Flanders
new-real-estate-project-apartments,la louvière,7110,10667181,€240000,Avenue Louise 120 (4ème étage),0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hainaut (West)
ground-floor,molenbeek-saint-jean,1080,10667177,€199000,Avenue Louise 120 (4e étage),2,E,216.0,0,1,0,0,32,2,1975,Good,0,1,1,0,1,Not installed,Fuel oil,Brussels Capital Region
town-house,bois-d'haine,7170,10631705,€186500,Rue Sylvain Guyaux 85,2,D,289.0,0,0,0,0,0,0,0,Good,0,0,1,0,1,Semi equipped,Gas,Hainaut (West)
penthouse,westmalle,2390,10667173,€435000,Vrijheid 147,2,NS,0.0,0,0,14,0,0,3,0,Good,0,2,0,0,0,Hyper equipped,Gas,Antwerp
apartment,westmalle,2390,10667172,€435000,Vrijheid 147,2,NS,0.0,0,0,14,0,0,3,0,Good,0,2,0,0,0,Hyper equipped,Gas,Antwerp
house,etterbeek,1040,10667169,€780000,Place Communale 8,5,F,339.0,0,0,3,100,15,2,1930,To be done up,0,1,2,0,3,Hyper equipped,Gas,Brussels Capital Region
house,olloy-sur-viroin,5670,10667167,€88000,Avenue Paul pastur 380,3,F,486.0,0,0,0,139,23,2,0,0,0,1,1,0,2,Installed,Fuel oil,Namur
house,frasnes-lez-gosselies,6210,10667166,€238000,Avenue Paul pastur 380,3,C,184.0,0,0,40,200,38,2,0,0,0,1,0,0,1,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
villa,gozee,6534,10667165,€395000,Avenue Paul pastur 380,2,C,228.0,0,0,20,1085,48,4,0,0,0,1,0,0,1,Installed,Fuel oil,Luxembourg (shared with Eastern Hainaut)
house,deerlijk,8540,10667164,€229000,Hulstedorp 18,3,E,460.0,0,0,0,313,0,3,0,To be done up,0,0,0,0,1,Semi equipped,Fuel oil,West Flanders
apartment,molenbeek-st-jean,1080,10667161,€295000,Rue Haute 2,2,E,252.0,0,0,9,0,13,2,2007,Good,0,1,1,0,1,Installed,Electric,Brussels Capital Region
house,keerbergen,3140,10667156,€850000,Korenmarkt 55,3,B,194.0,0,1,0,1366,20,4,1994,0,0,1,2,1,2,0,0,Flemish Brabant
house,zwevegem,8550,10289078,€257663,Overleiestraat 79,2,NS,0.0,0,0,0,179,0,3,2021,0,0,1,0,0,0,0,Gas,West Flanders
house,laeken,1020,10667154,€539000,Rue de Wand 25,4,F,301.0,0,0,11,0,32,2,1956,0,0,2,0,0,3,Installed,Fuel oil,Brussels Capital Region
penthouse,westmalle,2390,10667152,€399000,Vrijheid 147,2,NS,0.0,0,0,20,0,0,3,0,Good,0,1,0,0,0,Hyper equipped,Gas,Antwerp
